id,timestamp,package_name,learning_event_type,additional_data,research_experiment,experiment_group,word_text,word_id
3789,1746345577,ai.elimu.vitabu.debug,WORD_PRESSED,,,,พัก,
3790,1746345579,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3791,1746345737,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3792,1746345801,ai.elimu.vitabu.debug,WORD_PRESSED,,,,นอน,
3793,1746345806,ai.elimu.vitabu.debug,WORD_PRESSED,,,,นอน,
3794,1746346038,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ดู,
3795,1746346040,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3796,1746346043,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3797,1746346048,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3798,1746346058,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ดู,
3799,1746346060,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3800,1746346065,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ลูก,
3801,1746346068,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ลูก,
3802,1746346080,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3803,1746346086,ai.elimu.vitabu.debug,WORD_PRESSED,,,,นก,
3804,1746346089,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ฟัน,
3805,1746346182,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3806,1746346185,ai.elimu.vitabu.debug,WORD_PRESSED,,,,เพลง,
3807,1746350983,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ฉัน,
3808,1746350985,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ตัว,
3809,1746350986,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ฉัน,
3810,1746351100,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ลูก,
3811,1746351101,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ผม,
3812,1746408441,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ผม,
3813,1746460343,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3814,1748877268,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ของ,
3815,1748877270,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ฉัน,
3816,1748877272,ai.elimu.vitabu.debug,WORD_PRESSED,,,,มี,
3817,1748877273,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ชาย,
3818,1748877275,ai.elimu.vitabu.debug,WORD_PRESSED,,,,สาว,
3819,1748877276,ai.elimu.vitabu.debug,WORD_PRESSED,,,,สาว,
3820,1748877277,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ฉัน,
3821,1748877308,ai.elimu.vitabu.debug,WORD_PRESSED,,,,สาว,
3822,1749871380,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ชอบ,
3823,1749871385,ai.elimu.vitabu.debug,WORD_PRESSED,,,,นอน,
3824,1749871391,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ชอบ,
3825,1749871394,ai.elimu.vitabu.debug,WORD_PRESSED,,,,มัน,
3826,1749871439,ai.elimu.vitabu.debug,WORD_PRESSED,,,,นอน,
3827,1749871443,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ชอบ,
3828,1749871521,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3829,1749871524,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3830,1749871525,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3831,1749871528,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3832,1749871548,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3833,1749871550,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3834,1749871554,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3835,1749871556,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3836,1749871558,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3837,1749871562,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3838,1749871564,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3839,1749871566,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3840,1749871568,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3841,1749871656,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3842,1749871804,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3843,1749871807,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3844,1749871813,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3845,1749872106,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3846,1749872108,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3847,1749872110,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3848,1749872536,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3849,1749872543,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3850,1749872545,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3851,1749872546,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3852,1749872581,ai.elimu.vitabu.debug,WORD_PRESSED,,,,วัน,
3853,1749872595,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3854,1749872597,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3855,1749872598,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3856,1749872613,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3857,1749872614,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3858,1749872616,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3859,1749872626,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3860,1749872635,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3861,1749872636,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3862,1749891362,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3863,1749891364,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3864,1749891378,ai.elimu.vitabu.debug,WORD_PRESSED,,,,ไป,
3865,1749891792,ai.elimu.vitabu.debug,WORD_PRESSED,,,,กัน,
3866,1750477236,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,นก,
3867,1750477258,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ของ,
3868,1750477271,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,และ,
3869,1750477273,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,มี,
3870,1750477274,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ฉัน,
3871,1750477276,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ของ,
3872,1750477277,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,และ,
3873,1750477279,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,สาว,
3874,1750477280,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ชาย,
3875,1750477282,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,และ,
3876,1750477283,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,มี,
3877,1750477285,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ชาย,
3878,1750477287,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,สาว,
3879,1750477288,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,และ,
3880,1750477289,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,สาว,
3881,1750477291,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,สาว,
3882,1750477292,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,และ,
3883,1750477294,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ตัว,
3884,1750477295,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,เอง,
3885,1750477296,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ฉัน,
3886,1750477298,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,สวน,
3887,1750477305,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,สวน,
3888,1750477308,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ของ,
3889,1750477310,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ฉัน,
3890,1750477312,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ชาย,
3891,1750477318,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ฉัน,
3892,1750477320,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,คือ,
3893,1750477321,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ไหม,
3894,1750477323,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,เธอ,
3895,1750477325,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ขวา,
3896,1750477326,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ขวา,
3897,1750477328,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ไหม,
3957,1750562396,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ฉัน,36.0
3958,1750562399,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,นะ,66.0
3959,1750562402,ai.elimu.vitabu.debug,WORD_PRESSED,,0.0,0.0,ฉัน,36.0
