id,timestamp,package_name,mastery_score,time_spent_ms,additional_data,word_text,word_id
86,1743087635000,ai.elimu.kukariri.debug,1.0,3284,,paaralan,435
87,1743087637000,ai.elimu.kukariri.debug,1.0,1996,,enerhiya,265
88,1743087640000,ai.elimu.kukariri.debug,0.0,3219,,masaya,437
89,1743087642000,ai.elimu.kukariri.debug,1.0,1473,,planeta,429
90,1743087644000,ai.elimu.kukariri.debug,1.0,1672,,makita,106
91,1743087646000,ai.elimu.kukariri.debug,0.0,2020,,munting,184
92,1743087648000,ai.elimu.kukariri.debug,0.0,2396,,sisiw,185
93,1743087650000,ai.elimu.kukariri.debug,1.0,1954,,magsalita,197
94,1743087654000,ai.elimu.kukariri.debug,0.0,3551,,tanong,358
95,1743087655000,ai.elimu.kukariri.debug,0.0,299,,tumakbo,294
96,1743087656000,ai.elimu.kukariri.debug,0.0,149,,masaya,437
97,1743087659000,ai.elimu.kukariri.debug,1.0,1475,,tanong,358
98,1743087660000,ai.elimu.kukariri.debug,1.0,1085,,sanggol,433
99,1743087661000,ai.elimu.kukariri.debug,1.0,979,,tumakbo,294
100,1743087662000,ai.elimu.kukariri.debug,1.0,936,,silang,382
101,1743087663000,ai.elimu.kukariri.debug,1.0,917,,bibe,186
102,1743087664000,ai.elimu.kukariri.debug,1.0,885,,nais,316
103,1743087665000,ai.elimu.kukariri.debug,1.0,895,,masaya,437
104,1743087666000,ai.elimu.kukariri.debug,1.0,869,,munting,184
105,1743087667000,ai.elimu.kukariri.debug,1.0,968,,sisiw,185
106,1743092287000,ai.elimu.kukariri.debug,1.0,7304,,araw,26
107,1743092290000,ai.elimu.kukariri.debug,0.0,3192,,tanong,358
108,1743092291000,ai.elimu.kukariri.debug,0.0,1466,,sanggol,433
109,1743092297000,ai.elimu.kukariri.debug,0.0,5306,,tumakbo,294
110,1743092300000,ai.elimu.kukariri.debug,0.0,3088,,silang,382
111,1743092301000,ai.elimu.kukariri.debug,0.0,1432,,bibe,186
112,1743092303000,ai.elimu.kukariri.debug,0.0,1565,,nais,316
113,1743092304000,ai.elimu.kukariri.debug,0.0,1456,,masaya,437
114,1743092307000,ai.elimu.kukariri.debug,0.0,2424,,munting,184
115,1743092308000,ai.elimu.kukariri.debug,0.0,1540,,sisiw,185
116,1743671972000,ai.elimu.kukariri.debug,1.0,1578,,araw,26
117,1743671975000,ai.elimu.kukariri.debug,1.0,2582,,pusa,9
118,1743671977000,ai.elimu.kukariri.debug,0.0,2169,,tanong,358
119,1743671979000,ai.elimu.kukariri.debug,1.0,2164,,bata,357
120,1744631951000,ai.elimu.kukariri.debug,1.0,179954,,araw,26
121,1744632042000,ai.elimu.kukariri.debug,0.0,51625,,pusa,9
122,1744632045000,ai.elimu.kukariri.debug,0.0,3318,,tanong,358
123,1744632049000,ai.elimu.kukariri.debug,1.0,3304,,bata,357
124,1744632051000,ai.elimu.kukariri.debug,0.0,2141,,sanggol,433
125,1744881175000,ai.elimu.kukariri.debug,0.0,39866,,araw,26
126,1745935134000,ai.elimu.kukariri.debug,0.0,32163,,araw,26
127,1745935137000,ai.elimu.kukariri.debug,1.0,3821,,pusa,9
128,1748961982000,ai.elimu.kukariri.debug,1.0,2045,,araw,26
129,1748961984000,ai.elimu.kukariri.debug,1.0,2136,,pusa,9
130,1749308017000,ai.elimu.kukariri.debug,1.0,1542,,araw,26
131,1749308026000,ai.elimu.kukariri.debug,1.0,9310,,pusa,9
132,1749308029000,ai.elimu.kukariri.debug,1.0,2916,,tubig,138
133,1749308034000,ai.elimu.kukariri.debug,0.0,4400,,tanong,358
