id,timestamp,package_name,video_title,video_id,learning_event_type,additional_data
5807452,1749511662,ai.elimu.filamu,akili and me - letter b,2,VIDEO_OPENED,
5807453,1749511710,ai.elimu.filamu,akili and me - letter b,2,VIDEO_COMPLETED,{'video_playback_position_ms': 56528}
5807454,1749511754,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_OPENED,
5807455,1749511779,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 10416}
5807456,1749511794,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_OPENED,
5807457,1749511816,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 27754}
5807458,1749511846,ai.elimu.filamu,akili and me - letter b,2,VIDEO_OPENED,
5807459,1749511877,ai.elimu.filamu,akili and me - letter b,2,VIDEO_COMPLETED,{'video_playback_position_ms': 15152}
5807460,1749684505,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_OPENED,
5807461,1749684531,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 54043}
5807462,1749684610,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_OPENED,
5807463,1749684653,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 2553}
5807464,1749684742,ai.elimu.filamu,akili and me - letter d,4,VIDEO_OPENED,
5807465,1749684756,ai.elimu.filamu,akili and me - letter d,4,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 37237}
5807466,1749684815,ai.elimu.filamu,akili and me - letter a,1,VIDEO_OPENED,
5807467,1749684867,ai.elimu.filamu,akili and me - letter a,1,VIDEO_COMPLETED,{'video_playback_position_ms': 57648}
5807468,1749684936,ai.elimu.filamu,akili and me - letter b,2,VIDEO_OPENED,
5807469,1749684971,ai.elimu.filamu,akili and me - letter b,2,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 45753}
5807470,1749685017,ai.elimu.filamu,akili and me - letter b,2,VIDEO_OPENED,
5807471,1749685040,ai.elimu.filamu,akili and me - letter b,2,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 47853}
5807472,1749685134,ai.elimu.filamu,[test] a test video,44,VIDEO_OPENED,
5807473,1749685182,ai.elimu.filamu,[test] a test video,44,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 19295}
5807474,1749685275,ai.elimu.filamu,akili and me - letter i,33,VIDEO_OPENED,
5807475,1749685310,ai.elimu.filamu,akili and me - letter i,33,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 22474}
5807476,1749685358,ai.elimu.filamu,akili and me - letter d,4,VIDEO_OPENED,
5807477,1749685375,ai.elimu.filamu,akili and me - letter d,4,VIDEO_COMPLETED,{'video_playback_position_ms': 17699}
5807478,1749685412,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_OPENED,
5807479,1749685424,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 42443}
5807480,1749685439,ai.elimu.filamu,akili and me - letter a,1,VIDEO_OPENED,
5807481,1749685494,ai.elimu.filamu,akili and me - letter a,1,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 2799}
5807482,1749685583,ai.elimu.filamu,[test] a test video,44,VIDEO_OPENED,
5807483,1749685635,ai.elimu.filamu,[test] a test video,44,VIDEO_COMPLETED,{'video_playback_position_ms': 50738}
5807484,1749685748,ai.elimu.filamu,akili and me - letter d,4,VIDEO_OPENED,
5807485,1749685759,ai.elimu.filamu,akili and me - letter d,4,VIDEO_COMPLETED,{'video_playback_position_ms': 42841}
5807498,1749770919,ai.elimu.filamu,akili and me - letter i,33,VIDEO_OPENED,
5807499,1749770953,ai.elimu.filamu,akili and me - letter i,33,VIDEO_COMPLETED,{'video_playback_position_ms': 28061}
5807530,1749780523,ai.elimu.filamu,akili and me - letter b,2,VIDEO_OPENED,
5807531,1749780562,ai.elimu.filamu,akili and me - letter b,2,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 55316}
5807532,1749780621,ai.elimu.filamu,akili and me - letter c,3,VIDEO_OPENED,
5807533,1749780644,ai.elimu.filamu,akili and me - letter c,3,VIDEO_COMPLETED,{'video_playback_position_ms': 53093}
5807534,1749780660,ai.elimu.filamu,akili and me - letter d,4,VIDEO_OPENED,
5807535,1749780663,ai.elimu.filamu,akili and me - letter d,4,VIDEO_COMPLETED,{'video_playback_position_ms': 53174}
5807542,1749857314,ai.elimu.filamu,akili and me - letter c,3,VIDEO_OPENED,
5807543,1749857336,ai.elimu.filamu,akili and me - letter c,3,VIDEO_COMPLETED,{'video_playback_position_ms': 49554}
5807544,1749857377,ai.elimu.filamu,akili and me - letter d,4,VIDEO_OPENED,
5807545,1749857418,ai.elimu.filamu,akili and me - letter d,4,VIDEO_COMPLETED,{'video_playback_position_ms': 25411}
5807546,1749857502,ai.elimu.filamu,[test] a test video,44,VIDEO_OPENED,
5807547,1749857535,ai.elimu.filamu,[test] a test video,44,VIDEO_COMPLETED,{'video_playback_position_ms': 18665}
5807548,1749857574,ai.elimu.filamu,akili and me - letter b,2,VIDEO_OPENED,
5807549,1749857612,ai.elimu.filamu,akili and me - letter b,2,VIDEO_COMPLETED,{'video_playback_position_ms': 11821}
5807550,1749857647,ai.elimu.filamu,akili and me - letter b,2,VIDEO_OPENED,
5807551,1749857679,ai.elimu.filamu,akili and me - letter b,2,VIDEO_COMPLETED,{'video_playback_position_ms': 9977}
5807552,1749857744,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_OPENED,
5807553,1749857755,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 23745}
5807554,1749857830,ai.elimu.filamu,akili and me - letter i,33,VIDEO_OPENED,
5807555,1749857864,ai.elimu.filamu,akili and me - letter i,33,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 24672}
5807556,1749857896,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_OPENED,
5807557,1749857901,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 10681}
5807558,1749857939,ai.elimu.filamu,akili and me - the rectangle song,13,VIDEO_OPENED,
