id,timestamp,package_name,additional_data,research_experiment,experiment_group,word_text,word_id
44741,1771588048,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,and,22
44742,1771588049,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,stars,707
44743,1771588096,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,in,35
44744,1771588097,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,the,50
44745,1771588100,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,a,21
44746,1771588101,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,star,710
44747,1771588122,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,they,144
44748,1771590654,ai.elimu.maneno.debug,"{""spokenText"":""the""}",0,1,the,50
44749,1771590727,ai.elimu.maneno.debug,"{""spokenText"":""the""}",0,1,the,50
44750,1771590760,ai.elimu.maneno.debug,"{""spokenText"":""the""}",0,1,the,50
44751,1771590810,ai.elimu.maneno.debug,"{""spokenText"":""the""}",0,1,the,50
44752,1771590821,ai.elimu.maneno.debug,"{""spokenText"":""and""}",0,1,and,22
44753,1771590833,ai.elimu.maneno.debug,"{""spokenText"":""the""}",0,1,the,50
44754,1771590868,ai.elimu.maneno.debug,"{""spokenText"":""and""}",0,1,and,22
44755,1771590879,ai.elimu.maneno.debug,"{""spokenText"":""she""}",0,1,she,139
44756,1771590897,ai.elimu.maneno.debug,"{""spokenText"":""you""}",0,1,you,56
44757,1771590934,ai.elimu.maneno.debug,"{""spokenText"":""was""}",0,1,was,149
44758,1771590948,ai.elimu.maneno.debug,"{""spokenText"":""his""}",0,1,his,708
44759,1771590992,ai.elimu.maneno.debug,"{""spokenText"":""are""}",0,1,are,110
44760,1771592032,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,and,22
44761,1771592033,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,stars,707
44762,1771592034,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,the,50
44763,1771592035,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,star,710
44764,1771596641,ai.elimu.maneno.debug,"{""spokenText"":""the""}",0,1,the,50
44765,1771597299,ai.elimu.maneno.debug,"{""spokenText"":""and""}",0,1,and,22
44766,1771602657,ai.elimu.maneno.debug,"{""spokenText"":""the""}",0,1,the,50
44767,1771602671,ai.elimu.maneno.debug,"{""spokenText"":""and""}",0,1,and,22
44768,1771602709,ai.elimu.maneno.debug,"{""spokenText"":""she""}",0,1,she,139
44769,1771603034,ai.elimu.maneno.debug,"{""spokenText"":""you""}",0,1,you,56
44770,1771603049,ai.elimu.maneno.debug,"{""spokenText"":""was""}",0,1,was,149
44771,1771603063,ai.elimu.maneno.debug,"{""spokenText"":""his""}",0,1,his,708
44772,1771692168,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,the,50
44773,1771692169,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,are,110
44774,1771692170,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,all,108
44775,1771692172,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,that,142
44776,1771692174,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,the,50
44777,1771692180,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,and,22
44778,1771692182,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,to,51
44779,1771692183,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,the,50
44780,1771692184,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,with,156
44781,1771692186,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,day,391
44782,1771692191,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,his,708
44783,1771692192,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,father,104
44784,1771692194,ai.elimu.vitabu.debug,"{""eventType"":""WORD_PRESSED""}",0,1,one,2
