id,timestamp,package_name,additional_data,research_experiment,experiment_group,letter_sound_letters,letter_sound_sounds,letter_sound_id
5,1767871508,ai.elimu.herufi.debug,,0,0,[a],[a],1
6,1767871510,ai.elimu.herufi.debug,,0,0,[◌̀],[∅],24
7,1767871513,ai.elimu.herufi.debug,,0,0,[c],[k],6
8,1767871514,ai.elimu.herufi.debug,,0,0,[m],[m],17
9,1767871516,ai.elimu.herufi.debug,,0,0,[◌̣],[∅],33
