id,timestamp,package_name,learning_event_type,additional_data,research_experiment,experiment_group,video_title,video_id
4521515,1749514748,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521516,1749514805,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 26414},,,piper,1
4521517,1749514834,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521518,1749514852,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 54914},,,piper,1
4521519,1749599821,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521520,1749599846,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 33276},,,piper,1
4521521,1749599936,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521522,1749599983,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 33436},,,piper,1
4521523,1749600099,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521524,1749600111,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 25583},,,piper,1
4521525,1749600175,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521526,1749600226,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 22994},,,piper,1
4521527,1749600281,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521528,1749600298,ai.elimu.filamu,VIDEO_CLOSED_BEFORE_COMPLETION,{'video_playback_position_ms': 1819},,,piper,1
4521529,1749600332,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521530,1749600360,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 6977},,,piper,1
4521531,1749600406,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
4521532,1749600438,ai.elimu.filamu,VIDEO_COMPLETED,{'video_playback_position_ms': 12718},,,piper,1
4521533,1749600466,ai.elimu.filamu,VIDEO_OPENED,,,,piper,1
