id,timestamp,package_name,additional_data,research_experiment,experiment_group,letter_sound_id
1,1751164262,ai.elimu.herufi,,0,1,1
2,1751164265,ai.elimu.herufi,,0,1,2
3,1751164267,ai.elimu.herufi,,0,1,3
4,1751164269,ai.elimu.herufi,,0,1,4
