id,timestamp,android_id,package_name,word_id,word_text,learning_event_type,additional_data
1411,1603229425000,6122***4efb,,51,lola,WORD_PRESSED,
1412,1603229425000,6122***4efb,,1,ang,WORD_PRESSED,
1413,1603229424000,6122***4efb,,5,at,WORD_PRESSED,
1414,1603229422000,6122***4efb,,137,ng,WORD_PRESSED,
1415,1603229420000,6122***4efb,,1,ang,WORD_PRESSED,
1416,1603229419000,6122***4efb,,14,ako,WORD_PRESSED,
1417,1603229400000,6122***4efb,,410,larawan,WORD_PRESSED,
1418,1603229399000,6122***4efb,,4,sa,WORD_PRESSED,
1419,1603229397000,6122***4efb,,4,sa,WORD_PRESSED,
1420,1603229396000,6122***4efb,,55,tatay,WORD_PRESSED,
1421,1603229394000,6122***4efb,,137,ng,WORD_PRESSED,
1422,1603229394000,6122***4efb,,14,ako,WORD_PRESSED,
1423,1603229392000,6122***4efb,,320,tutulungan,WORD_PRESSED,
1424,1603229391000,6122***4efb,,5,at,WORD_PRESSED,
1425,1603229388000,6122***4efb,,2,ay,WORD_PRESSED,
1426,1603229387000,6122***4efb,,14,ako,WORD_PRESSED,
1427,1603229349000,6122***4efb,,319,aklat,WORD_PRESSED,
1428,1603229289000,6122***4efb,,319,aklat,WORD_PRESSED,
1429,1603229288000,6122***4efb,,97,akong,WORD_PRESSED,
1430,1603229286000,6122***4efb,,225,wala,WORD_PRESSED,
1431,1603318402000,6122***4efb,,13,hindi,WORD_PRESSED,
1432,1603318264000,6122***4efb,,34,natatakot,WORD_PRESSED,
1433,1603318263000,6122***4efb,,13,hindi,WORD_PRESSED,
1434,1603318261000,6122***4efb,,88,pala,WORD_PRESSED,
1435,1603318259000,6122***4efb,,9,pusa,WORD_PRESSED,
1436,1603318235000,6122***4efb,,393,naman,WORD_PRESSED,
1437,1603318128000,6122***4efb,,350,bahay,WORD_PRESSED,
1438,1603318125000,6122***4efb,,87,lalabas,WORD_PRESSED,
1439,1603318121000,6122***4efb,,32,malaki,WORD_PRESSED,
