id,timestamp,package_name,mastery_score,time_spent_ms,additional_data,word_text,word_id
21,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
42,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
63,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
84,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
105,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
126,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
147,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
168,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
189,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
210,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
231,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
252,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
273,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
294,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
315,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
336,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
357,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
378,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
399,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
420,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
441,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
462,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
483,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
504,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
525,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
546,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
567,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
588,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
609,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
630,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
651,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
672,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
693,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
714,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
735,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
756,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
777,1747206291000,ai.elimu.kukariri,0.0,15460,,stars,707
